SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
542665,Neogen Chemicals Ltd,Active,B,10.00,INE136S01016,,NEOGEN,Equity,https://www.bseindia.com/stock-share-price/neogen-chemicals-ltd/neogen/542665/,Neogen Chemicals Limited,5286.72
542666,G. K. P. Printing & Packaging Ltd,Active,B,10.00,INE05QJ01015,,GKP,Equity,https://www.bseindia.com/stock-share-price/g-k-p-printing--packaging-ltd/gkp/542666/,G. K. P. Printing & Packaging Limited,13.33
542668,Evans Electric Ltd,Active,M,10.00,INE06TD01010,,EVANS,Equity,https://www.bseindia.com/stock-share-price/evans-electric-ltd/evans/542668/,EVANS ELECTRIC LIMITED,37.87
542669,BMW Industries Ltd,Active,X,1.00,INE374E01021,,BMW,Equity,https://www.bseindia.com/stock-share-price/bmw-industries-ltd/bmw/542669/,BMW INDUSTRIES LIMITED,1412.64
542670,Artemis Electricals and Projects Ltd,Active,B,1.00,INE757T01025,,AEPL,Equity,https://www.bseindia.com/stock-share-price/artemis-electricals-and-projects-ltd/aepl/542670/,Artemis Electricals and Projects Limited,407.68
542678,Cian Healthcare Ltd,Active,MT,10.00,INE05BN01027,,CHCL,Equity,https://www.bseindia.com/stock-share-price/cian-healthcare-ltd/chcl/542678/,Cian Healthcare Limited,20.65
542679,Dhanashree Electronics Ltd,Active,X,10.00,INE413F01016,,DEL,Equity,https://www.bseindia.com/stock-share-price/dhanashree-electronics-ltd/del/542679/,Dhanashree Electronics Limited,217.46
542682,Harish Textile Engineers Ltd,Active,X,10.00,INE01K301012,,HARISH,Equity,https://www.bseindia.com/stock-share-price/harish-textile-engineers-ltd/harish/542682/,Harish Textile Engineers Limited,22.02
542684,Prakash Pipes Ltd,Active,B,10.00,INE050001010,,PPL,Equity,https://www.bseindia.com/stock-share-price/prakash-pipes-ltd/ppl/542684/,Prakash Pipes Limited,619.60
542685,Digicontent Ltd,Active,B,2.00,INE03JI01017,,DGCONTENT,Equity,https://www.bseindia.com/stock-share-price/digicontent-ltd/dgcontent/542685/,Digicontent Limited,146.05
542694,Parshva Enterprises Ltd,Active,B,10.00,INE05MV01019,,PARSHVA,Equity,https://www.bseindia.com/stock-share-price/parshva-enterprises-ltd/parshva/542694/,Parshva Enterprises Limited,191.57
542721,Anand Rayons Ltd,Active,B,10.00,INE02GA01012,,ARL,Equity,https://www.bseindia.com/stock-share-price/anand-rayons-ltd/arl/542721/,Anand Rayons Limited,114.54
542725,SBC Exports Ltd,Active,B,1.00,INE04AK01028,,SBC,Equity,https://www.bseindia.com/stock-share-price/sbc-exports-ltd/sbc/542725/,SBC EXPORTS LIMITED,2071.90
542726,IndiaMART InterMESH Ltd,Active,A,10.00,INE933S01016,,INDIAMART,Equity,https://www.bseindia.com/stock-share-price/indiamart-intermesh-ltd/indiamart/542726/,IndiaMART InterMESH Limited,12560.90
542727,City Pulse Multiventures Ltd,Active,M,10.00,INE056001014,,CPML,Equity,https://www.bseindia.com/stock-share-price/city-pulse-multiventures-ltd/cpml/542727/,CITY PULSE MULTIVENTURES LIMITED,2097.46
